brand,window_size,n_hidden,units1,term,r2_score,rmse
NVDA,35,200,150,10,0.8637,0.0342
NVDA,35,200,150,15,0.8808,0.0319
NVDA,35,200,150,20,0.8960,0.0299
NVDA,35,200,150,25,0.8786,0.0325
NVDA,35,200,150,30,0.7803,0.0439
NVDA,35,200,150,35,0.8932,0.0308
NVDA,35,200,150,40,0.8254,0.0395
NVDA,35,200,150,45,0.8951,0.0307
NVDA,35,200,150,50,0.7810,0.0444
NVDA,35,200,150,55,0.8844,0.0325
NVDA,35,200,150,60,0.8361,0.0389
NVDA,35,200,150,65,0.8185,0.0412
NVDA,35,200,150,70,0.8630,0.0360
NVDA,35,200,150,75,0.8091,0.0428
NVDA,35,200,150,80,0.8285,0.0407
NVDA,35,200,150,85,0.8934,0.0324
NVDA,35,200,150,90,0.8999,0.0315
NVDA,35,200,150,95,0.7864,0.0463
NVDA,35,200,150,100,0.6074,0.0629
NVDA,35,200,150,105,0.8619,0.0371
NVDA,35,200,150,110,-0.0746,0.1036
NVDA,35,200,150,115,0.8079,0.0440
NVDA,35,200,150,120,0.8809,0.0346
NVDA,35,200,150,125,0.8420,0.0395
